Model,Volume,Mean_Dex,Efficiency,Density
Roboken,3684.577802506754,0.12455267229594293,0.03113816807398573,3.380378403495922e-05
Shadow,7437.684015081241,0.11138563014138743,0.027846407535346857,1.4975848653362128e-05
Schunk,795.5961617130724,0.09091998924808312,0.028412496640025972,0.00011427906973848993
Ability,1050.8127724902254,0.06994260350580328,0.05828550292150274,6.656048093139626e-05
Inspire,576.5015320993675,0.07849549465126528,0.06541291220938773,0.00013615834526131936
