sample,finger,manipulability,dexterity,x,y,z
0,thumb,3.393444750890786e-05,0.10625918537610445,0.0025164430532416734,-0.009653688067941417,0.12472072598435154
0,index,3.408355339951185e-05,0.10696164320159511,0.04851035311859928,0.04973569043987622,0.10809796131126435
0,middle,0.00020414294314096605,0.15218388636727914,0.028699708431433435,0.14765737553141864,0.02275182756256038
0,ring,0.0001965600073690933,0.11912578547009436,-0.037399078673566184,0.1053103511875545,0.060321024876973495
0,pinky,0.00019302492745591456,0.13107370474209998,-0.07204467500213851,0.1024249569033131,0.051269057963346104
1,thumb,7.146223396119292e-05,0.13132486936645107,0.09616774812509148,0.0056731238366536305,0.10364554234063347
1,index,5.876161783029506e-05,0.16124070205253363,0.09113413089467332,0.13448237668443347,0.034904751287734334
1,middle,4.63750068548246e-05,0.10935904379441341,0.012122920600306245,0.06863240299461097,0.10742466267628195
1,ring,0.00020799513333557526,0.1217354559624823,-0.02333369662249324,0.11300404236672046,0.052454468323812536
1,pinky,1.9505697723296877e-05,0.15819759260469557,-0.09107378445967498,0.12071417558919857,0.01810616813606895
2,thumb,0.00016489850259058652,0.13728087049729296,0.05204632517907364,0.06110427585700689,0.07327949557901822
2,index,0.0001576079435272073,0.1167376323065841,0.07209219614830935,0.08852073819062063,0.08132687065124865
2,middle,1.876272884657395e-05,0.09018604926982005,0.012414588409328294,0.04225721875273919,0.09110515676705958
2,ring,1.250651339395966e-05,0.08672104652706739,-0.012345691595525525,0.0213857248367983,0.08325707676468495
2,pinky,2.950551935183995e-05,0.08486552323004391,-0.03534878507370041,0.000984010304109488,0.0757785352157025
3,thumb,8.463893052144509e-05,0.10943991546142137,0.04345230388237704,0.014776196818575902,0.11490336903223479
3,index,5.370449330169739e-05,0.1311521901372444,0.04590793425464676,0.10245930538663207,0.09604697639273002
3,middle,2.0508514349722123e-05,0.09111553502084142,0.011053200051656505,0.04298160854523718,0.09224056880011479
3,ring,4.240087840959906e-05,0.1362283074654939,-0.03905359915735512,0.10643616021211887,0.09125385145260756
3,pinky,5.683625102182839e-06,0.09207529881999561,-0.0374109093455601,0.011261767333777754,0.0907022618592479
4,thumb,0.00013257912070618384,0.11702780920015193,0.06999736069241808,0.02241811092807818,0.09986706686154961
4,index,3.575615828181429e-05,0.09163999023912248,0.04260931147188354,0.04132079290913228,0.09277915941011992
